generation,rateshifts,jumps,rootstate,jumpvariance
732000,0,1,0.637394,0
733000,0,3,0.534686,0
734000,1,2,-0.967185,0
735000,0,1,0.279678,0
736000,0,1,0.771591,0
737000,0,1,1.35891,0
738000,1,2,0.16118,0
739000,0,1,0.287053,0
740000,0,1,0.287053,0
741000,1,1,-0.150895,0
742000,0,1,0.349153,0
743000,1,1,1.47306,0
744000,3,1,-0.0329627,0
745000,0,2,-0.52469,0
746000,1,1,-0.52469,0
747000,0,1,-0.651084,0
748000,1,1,-0.854401,0
749000,2,2,-0.914422,0
750000,2,2,-0.914422,0
751000,0,3,-2.11326,0
752000,1,1,-0.253517,0
753000,0,1,0.903885,0
754000,0,1,0.262251,0
755000,1,1,-0.713502,0
756000,0,1,-0.00884163,0
757000,0,1,-0.722103,0
758000,2,1,-1.00829,0
759000,1,1,-0.708078,0
760000,0,1,0.923401,0
761000,0,1,0.420701,0
762000,2,2,-1.58694,0
763000,0,1,-0.690471,0
764000,0,1,0.229673,0
765000,1,1,-1.86745,0
766000,0,1,-0.270764,0
767000,0,1,-1.50911,0
768000,0,1,-0.140935,0
769000,0,1,-0.952781,0
770000,0,1,-0.506628,0
771000,0,1,-0.506628,0
772000,0,1,0.627055,0
773000,1,1,2.13881,0
774000,0,1,1.07644,0
775000,0,1,0.857734,0
776000,1,1,0.392916,0
777000,0,1,0.0166104,0
778000,0,1,0.0166104,0
779000,1,1,0.0166104,0
780000,0,1,-1.27512,0
781000,0,1,-0.765581,0
782000,0,1,-0.15979,0
783000,0,1,-0.112881,0
784000,0,1,-0.665762,0
785000,0,1,-0.760103,0
786000,0,1,-0.91291,0
787000,0,2,-0.719341,0
788000,0,1,-0.9555,0
789000,0,2,-0.926384,0
790000,2,2,-0.648445,0
791000,0,1,0.618163,0
792000,2,1,1.87134,0
793000,0,2,0.431234,0
794000,1,1,0.370591,0
795000,1,1,0.543826,0
796000,0,1,0.251965,0
797000,0,2,-0.378107,0
798000,1,1,0.94763,0
799000,0,1,0.686584,0
800000,0,1,0.90007,0
801000,0,1,1.02708,0
802000,0,1,1.2555,0
803000,0,1,-0.550127,0
804000,1,1,0.489808,0
805000,0,1,3.83611,0
806000,2,1,1.3177,0
807000,0,2,0.726,0
808000,0,1,0.298171,0
809000,1,1,1.54898,0
810000,1,1,-0.840434,0
811000,1,2,-1.74894,0
812000,0,3,1.28886,0
813000,1,2,-0.738172,0
814000,1,1,-0.738172,0
815000,0,1,-0.641835,0
816000,0,1,-0.544898,0
817000,1,1,-0.162167,0
818000,1,1,2.21884,0
819000,0,1,4.18737,0
820000,0,1,1.47447,0
821000,1,1,0.352068,0
822000,1,1,-0.123403,0
823000,0,1,-0.123403,0
824000,1,1,-0.250732,0
825000,1,1,0.760553,0
826000,3,2,1.5746,0
827000,0,1,1.07451,0
828000,0,1,-0.0193279,0
829000,1,1,1.08913,0
830000,0,1,1.18315,0
831000,0,1,1.18315,0
832000,0,1,0.184201,0
833000,0,1,0.865028,0
834000,0,1,1.14848,0
835000,0,1,1.07841,0
836000,0,1,0.139775,0
837000,1,1,-0.669501,0
838000,0,2,-0.837217,0
839000,0,1,0.963396,0
840000,0,1,2.05097,0
841000,0,2,2.05097,0
842000,0,2,0.471011,0
843000,0,1,-0.162827,0
844000,0,1,1.59801,0
845000,0,1,0.253937,0
846000,1,2,-0.19249,0
847000,1,2,-0.249586,0
848000,0,1,0.663231,0
849000,2,1,0.663231,0
850000,0,1,0.663231,0
851000,0,1,1.98317,0
852000,1,1,0.608375,0
853000,1,1,2.09722,0
854000,1,1,-0.660352,0
855000,0,1,-0.326972,0
856000,0,1,-0.326972,0
857000,0,1,-0.326972,0
858000,0,1,0.0955383,0
859000,0,1,-0.00242982,0
860000,1,1,0.480924,0
861000,0,2,0.326631,0
862000,0,1,-0.471283,0
863000,1,1,-0.0546448,0
864000,0,1,0.269884,0
865000,0,2,1.11145,0
866000,0,1,-0.441061,0
867000,1,1,0.550442,0
868000,1,1,0.75689,0
869000,0,1,-0.463599,0
870000,0,1,-0.463599,0
871000,0,1,-0.365394,0
872000,0,1,-0.365394,0
873000,0,1,0.0259358,0
874000,0,1,0.0259358,0
875000,0,2,0.241371,0
876000,0,1,-1.10472,0
877000,1,1,0.212064,0
878000,1,1,0.212064,0
879000,2,1,1.56895,0
880000,0,1,0.436052,0
881000,1,1,0.191603,0
882000,0,1,2.53416,0
883000,1,1,0.562118,0
884000,0,1,0.562118,0
885000,1,1,0.562118,0
